Year,Thermal_stress,size
2017,no thermal stress,40
2017,slight heat stress,33
2017,moderate heat stress,13
2017,strong heat stress,1
2017,extreme heat stress,0
2018,extreme cold stress,1
2018,strong cold stress,4
2018,moderate cold stress,7
2018,slight cold stress,18
2018,no thermal stress,32
2018,slight heat stress,52
2018,moderate heat stress,36
2018,strong heat stress,3
2018,extreme heat stress,0
