VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Electric Utility,2020 Census Tract,Vehicle Location Lat,Vehicle Location Lon
3C3CFFGE8F,Island,Langley,WA,98260.0,2015,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,0,10.0,474038764,PUGET SOUND ENERGY INC,53029972000.0,48.03557,-122.40801
5YJ3E1EA1K,Snohomish,Everett,WA,98208.0,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,21.0,229683156,PUGET SOUND ENERGY INC,53061041703.0,47.9156409,-122.224775
5YJ3E1EA2J,Snohomish,Bothell,WA,98012.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,44.0,171587517,PUGET SOUND ENERGY INC,53061052010.0,47.820245,-122.187
5YJSA1E28G,Snohomish,Lynnwood,WA,98036.0,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,32.0,220125125,PUGET SOUND ENERGY INC,53061051402.0,47.819365,-122.31667
1N4AZ1CP2J,Snohomish,Edmonds,WA,98020.0,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,21.0,288268921,PUGET SOUND ENERGY INC,53061050300.0,47.80807,-122.375
KNDCC3LG6L,Kitsap,Bainbridge Island,WA,98110.0,2020,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,23.0,157748188,PUGET SOUND ENERGY INC,53035090700.0,47.6293323,-122.523578
5YJXCBE42G,Snohomish,Everett,WA,98203.0,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,38.0,135588582,PUGET SOUND ENERGY INC,53061041304.0,47.95479,-122.2131
1N4BZ0CP7H,Chelan,Leavenworth,WA,98826.0,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,0,12.0,237813152,PUD NO 1 OF CHELAN COUNTY,53007960202.0,47.5970083,-120.661915
1N4AZ0CP1E,Chelan,Cashmere,WA,98815.0,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,12.0,250653105,PUD NO 1 OF CHELAN COUNTY,53007960502.0,47.5173233,-120.468
1G1FZ6S05K,Lincoln,Ford,WA,99013.0,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,13.0,102714293,AVISTA CORP,53043960200.0,47.8321008,-117.811294
7FCTGBAA2P,King,Sammamish,WA,98074.0,2023,RIVIAN,R1T,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,45.0,259982705,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032225.0,47.6285782,-122.031326
JA4J24A50J,Thurston,Olympia,WA,98501.0,2018,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22,0,22.0,329827193,PUGET SOUND ENERGY INC,53067010100.0,47.043535,-122.8969
JTDKARFP0H,Kitsap,Bremerton,WA,98310.0,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,23.0,106138777,PUGET SOUND ENERGY INC,53035080101.0,47.575195,-122.61136
5YJ3E1EA9J,King,Seattle,WA,98119.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,36.0,474964731,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033005902.0,47.63046,-122.36381
1C4JJXP63P,Snohomish,Lynnwood,WA,98036.0,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,21.0,235958628,PUGET SOUND ENERGY INC,53061051922.0,47.819365,-122.31667
5YJ3E1EC4L,Kitsap,Silverdale,WA,98383.0,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,308,0,23.0,7948713,PUGET SOUND ENERGY INC,53035091205.0,47.665978,-122.66807
