#Depth. m	Depth Bottom. m	Depth top. mwe	Depth bot. mwe	Nh4[ppb]	Ca[ppb]	No3[ppb]	So4[ppb]
87.030	87.104	62.165	62.231	110.404	287.249	209.866	436.079
87.104	87.178	62.231	62.297	244.106	414.847	399.853	958.390
87.178	87.252	62.297	62.362	175.643	315.414	307.713	497.153
87.252	87.326	62.362	62.428	101.414	126.201	144.701	366.839
87.326	87.376	62.428	62.472	21.741	40.220	57.805	148.900
87.376	87.425	62.472	62.517	7.489	18.605	43.950	97.414
87.425	87.475	62.517	62.561	9.652	12.900	19.638	55.418
87.475	87.524	62.561	62.606	5.680	10.693	16.511	39.947
87.524	87.574	62.606	62.65	15.633	21.277	43.490	88.762
87.574	87.624	62.65	62.694	23.240	73.553	113.523	134.100
87.624	87.674	62.694	62.739	71.970	338.600	145.757	341.684
87.674	87.725	62.739	62.783	83.425	175.712	144.359	445.000
87.725	87.775	62.783	62.828	53.300	97.768	135.051	239.573
87.775	87.825	62.828	62.872	199.618	436.561	343.971	694.284
87.825	87.876	62.872	62.916	148.000	287.118	273.729	438.250
87.876	87.926	62.916	62.961	58.875	102.115	94.839	216.910
87.926	87.985	62.961	63.012	18.419	108.359	54.877	163.823
87.985	88.043	63.012	63.063	13.118	25.736	33.799	126.006
88.043	88.102	63.063	63.114	10.826	13.827	20.570	93.178
88.102	88.160	63.114	63.165	8.216	12.741	43.887	87.809
88.160	88.219	63.165	63.216	4.881	8.691	26.818	61.404
88.219	88.277	63.216	63.267	9.491	8.066	72.415	76.036
88.277	88.394	63.267	63.37	45.682	29.164	84.265	89.685
88.394	88.510	63.37	63.474	23.192	78.333	48.570	115.240
88.510	88.627	63.474	63.577	120.799	343.744	184.851	376.303
88.627	88.744	63.577	63.681	112.834	289.969	208.796	335.395
88.744	88.861	63.681	63.784	109.837	214.214	195.533	333.329
88.861	88.977	63.784	63.887	41.212	117.193	97.628	231.050
88.977	89.039	63.887	63.941	10.417	42.263	36.449	131.717
89.039	89.100	63.941	63.995	6.965	15.029	30.218	104.370
89.100	89.161	63.995	64.048	16.221	19.585	37.845	90.946
89.161	89.222	64.048	64.102	9.815	32.414	62.148	70.566
89.222	89.283	64.102	64.156	17.204	39.017	66.680	133.114
89.283	89.344	64.156	64.209	9.646	9.294	25.533	34.535
89.344	89.394	64.209	64.254	27.557	36.680	125.376	218.054
89.394	89.443	64.254	64.298	63.469	108.259	126.145	368.608
89.443	89.493	64.298	64.342	155.607	157.537	224.899	393.214
89.493	89.542	64.342	64.386	111.202	73.162	239.876	232.321
89.542	89.592	64.386	64.43	66.182	67.497	164.069	166.015
89.592	89.641	64.43	64.474	60.445	75.124	113.262	144.496
89.641	89.723	64.474	64.547	25.998	82.579	68.604	149.481
89.723	89.805	64.547	64.621	16.446	47.925	55.031	118.121
89.805	89.888	64.621	64.694	14.431	21.773	52.786	90.406
89.888	89.970	64.694	64.767	3.914	7.895	22.477	51.506
89.970	90.052	64.767	64.841	14.995	62.623	47.165	259.090
90.052	90.134	64.841	64.914	15.541	52.989	45.707	181.024
90.134	90.204	64.914	64.978	65.743	355.903	117.938	310.048
90.204	90.274	64.978	65.042	111.266	218.369	159.158	267.788
90.274	90.344	65.042	65.106	164.747	229.645	213.606	338.625
90.344	90.415	65.106	65.169	84.903	99.197	119.743	261.744
90.415	90.485	65.169	65.233	38.744	38.633	51.961	214.703
90.485	90.555	65.233	65.297	41.389	55.051	107.983	217.135
90.555	90.574	65.297	65.314	10.139	23.113	20.697	101.524
90.574	90.592	65.314	65.331	10.139	23.113	20.697	101.524
