#Year Nh4[ppb] No3[ppb] So4[ppb]
1956 99.789376025237 208.027605640378 439.734490927446
1955 149.557865895954 285.891084971098 565.632183236994
1954 123.586069565217 221.275260869564 451.214108695652
1953 103.531960666667 189.923586666667 445.547572333333
1952 73.2182004739337 144.525388625592 259.71288578199
1951 99.1917223684209 144.218125 324.144993421053
1950 119.229920320856 217.445393048128 437.827759893048
1949 88.094388372093 166.182037984496 352.501539534884
1948 75.8198977142859 136.913494857143 247.450696571428
1947 80.5392946308726 165.106016107383 253.928520805369
1946 84.4674815165877 128.357199526066 268.309330805687
1945 72.6198320987656 145.879248559671 258.242012757201
1944 109.331724861879 179.525902209945 307.363396685082
1943 97.6475916666668 166.876666666667 310.005483333335
1942 86.890187121212 140.792305303031 312.692000757576
1941 84.9885090196078 140.360396078431 309.76782627451
1940 59.8656802292262 116.781797421204 204.181131232092
1939 88.9995049999999 155.8085805 210.4122585
1938 57.7007068000002 92.0993035999999 102.1376064
1937 63.6388267045454 100.15925 117.090142613636
1936 110.380282040816 152.858907346939 255.46636244898
1935 60.5635166666668 139.267866666666 136.991766666667
1934 85.1479344352618 129.134372176309 180.850758402204
1933 102.552646078431 124.012898039216 235.600782843137
1932 54.1104946472017 95.3046082725064 130.367754744525
1931 84.7522941489361 136.606801861702 220.726624202127
1930 101.564365033407 173.98370155902 227.196206904232
1929 90.6953319852941 175.211492279412 260.295441544118
1928 99.7277842519686 176.968981889763 249.580541338582
1927 72.9942485106385 121.651755744681 205.506262978723
1926 100.099829166667 160.636590104166 285.654472916667
1925 95.9670166666666 154.7698 99.2150833333332
1924 71.7989209923663 179.640166412214 231.261788167939
1923 52.2959127946128 91.5444690235689 100.829548484848
1922 62.5003734234232 113.993843243243 101.549553603604
1921 65.4166817567567 142.872267567567 119.288052702703
1920 73.0950421052633 114.8676066482 148.322045983379
1919 85.8550302752292 134.989234403669 185.379349999999
1918 125.614952450981 156.292183333333 201.833672058823
1917 78.2544808943089 108.440144715447 187.26759593496
1916 90.4550763358777 154.333202290076 189.030130152672
1915 52.1599843342039 86.9648357702351 139.909112793734
1914 69.7899948598132 100.215098130842 126.082391588785
1913 117.432046107784 159.749719760479 331.844355688622
1912 114.522783410138 198.65168202765 420.530953456221
1911 68.0444718446602 118.082301294499 136.38422459547
1910 80.285707647059 145.067096176471 144.043657941176
1909 99.7136354545454 139.68260090909 159.538723939394
1908 114.097055362319 146.364124057971 160.113443478261
1907 122.083629015544 155.312379792747 250.579632642486
1906 64.6489256097562 132.583831707317 80.4987146341463
1905 66.5759857142857 118.032186263736 89.3137692307691
1904 169.752809722223 224.860701851852 206.01255
1903 65.876262195122 112.022375 102.107918292683
1902 103.155436458334 114.655387847222 129.801267361111
1901 118.893610333333 163.319404666667 130.411535
1900 70.480318939394 94.2564500000001 105.632
1899 78.3183775956283 114.925984699454 82.9864480874316
1898 120.027688679245 212.042533333333 208.63746100629
1897 81.1434725274726 149.256891208791 114.563593406593
